STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNOW,TMAX,TMIN
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200726,0.00,0.0,79,52
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200727,0.00,0.0,85,51
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200728,0.00,0.0,88,53
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200729,0.00,0.0,92,64
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200730,0.00,0.0,90,62
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200731,0.00,0.0,82,65
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200801,0.00,0.0,79,48
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200802,0.00,0.0,83,46
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200803,0.00,0.0,84,50
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200804,0.00,0.0,83,62
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200805,0.00,0.0,93,62
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200806,0.00,0.0,94,62
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200807,0.02,0.0,85,59
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200808,0.00,0.0,89,55
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200809,0.67,0.0,87,61
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200810,0.00,0.0,93,61
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200811,0.00,0.0,92,64
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200812,0.13,0.0,77,62
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200813,0.93,0.0,71,62
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200814,0.01,0.0,76,62
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200815,0.03,0.0,82,61
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200816,0.00,0.0,86,59
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200817,0.00,0.0,87,60
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200818,0.00,0.0,87,64
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200819,0.00,0.0,84,67
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200820,0.04,0.0,86,70
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200821,1.00,0.0,74,57
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200822,0.00,0.0,72,50
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200823,0.00,0.0,71,48
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200824,0.00,0.0,74,43
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200825,0.00,0.0,78,48
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200826,0.00,0.0,79,49
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200827,0.00,0.0,84,46
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200828,0.00,0.0,82,57
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200829,0.07,0.0,82,68
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200830,0.00,0.0,91,49
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200831,0.00,0.0,81,58
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200901,0.00,0.0,80,58
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200902,0.01,0.0,76,55
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200903,0.08,0.0,78,54
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200904,0.01,0.0,68,56
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200905,0.06,0.0,69,52
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200906,0.06,0.0,78,47
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200907,0.00,0.0,81,46
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200908,0.00,0.0,74,54
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200909,0.21,0.0,71,62
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200910,0.06,0.0,83,54
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200911,0.00,0.0,92,64
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200912,0.00,0.0,85,55
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200913,0.00,0.0,79,54
